music,010001111000,Japan,"010001111000 | 0100011110001",010001111000
misic,Bug Bus Piano,United States,"Misic | Painter | One of members of carriswheel, Quay, etc",bugbuspiano
art,Joseph Torres,United States,"artist new york city",jjjjjjj
art,松延総司,Japan,"美術家 | Artist",matsunobe
art,Natalia Panzer,Poland,"builds, edits, and contributes to okcook.co, a gastro-poetic website of art, writing, and data.",npanzer
art,小林椋,Japan,"美術家 | Artist | 正直 SHOJIKI",pocopuu
visual,斎藤玲児,Japan,"映像作家 | video artist",reijisaito
internet,Laurel Schwulst,United States,"human drinking water living in NYC",roombaghost
art,Sarah Marshall,United States,"interested in the accumulation of language through everyday life, transposing the digital and the physical, and the absurd.",sarahmarshall
art,Takamitsu Ohta,Japan,"graphic/bookdesign/sound/installation",takamitsuohta
art,船川翔司,Japan,"天気に関しての製作を続け、天気を題材とした人生を歩むこと",weather
music,woopheadclrms,Japan,"Hiroki Yamasaki | Sufaip | Ukiuki Atama | Algae",woopheadclrms
